"Год","Регион","salary","invest"
2007,"Белгородская область",9399.1,10788.3
2007,"Брянская область",7626.2,3324.5
2007,"Владимирская область",7014.9,3353.7
2007,"Волгоградская обл...",9409.8,7202.9
2007,"Вологодская область",10521,7471.3
2007,"Воронежская область",8306.6,11813.5
2007,"Нижегородская обл...",10171.9,20513.9
2007,"Ивановская область",5683.5,3434.6
2007,"Иркутская область",10280,6454.2
2007,"Усть-Ордынский Бу...",4083.3,163.2
2007,"Республика Ингушетия",4886.7,3084
2007,"Калининградская о...",11430.7,5889.7
2007,"Тверская область",8542.9,5244.6
2007,"Калужская область",9185.5,9641.5
2007,"Краснодарский край",9692.3,43626
2007,"Камчатский край",16787.1,1237.6
2007,"Кемеровская область",11876,16543.5
2007,"Кировская область",7407.4,4112.3
2007,"Костромская область",7857.3,1870
2007,"Самарская область",13779.3,9986.5
2007,"Курганская область",8700.9,2329.3
2007,"Курская область",8686.6,7706.1
2007,"Красноярский край",12880.3,18265.3
2007,"г.Санкт-Петербург",16214.2,23793.1
2007,"Ленинградская обл...",10201.2,10909.5
2007,"Липецкая область",9471.9,12509
2007,"Магаданская область",16634.1,290.7
2007,"г.Москва",33314.8,104908
2007,"Московская область",14034.1,65757.2
2007,"Мурманская область",15859.1,268
2007,"Новгородская область",8614.1,4899.5
2007,"Приморский край",10894.4,7480.5
2007,"Новосибирская обл...",10290.2,10206.8
2007,"Омская область",11450.7,21849.8
2007,"Оренбургская область",7914.3,9559
2007,"Орловская область",7324.9,5760.7
2007,"Пензенская область",7908.4,9727.8
2007,"Пермский край",13691.1,23772.6
